10:55:53.522 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:55:53.889 [main] INFO  com.polestar.ndcrefill.Main - Starting count in shipposition table: 154362
10:55:53.921 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 3134
10:55:53.979 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 156670 Current shipPositionID: 170000
10:55:53.979 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:55:54.280 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 68
10:55:54.281 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-08 10:55:54.281
10:55:54.302 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"06:56:13","trail_date":"2022-06-02","trail_time":"06:54:00","trail_latitude":"1.718666667","trail_longitude":"104.662","trail_speed":"0","trail_heading":"249","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.303 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"00:56:08","trail_date":"2022-06-02","trail_time":"00:54:00","trail_latitude":"1.72","trail_longitude":"104.6593333","trail_speed":"0.2","trail_heading":"249","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.304 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"12:39:18","trail_date":"2022-06-05","trail_time":"12:36:00","trail_latitude":"22.54533333","trail_longitude":"126.5713333","trail_speed":"18.4","trail_heading":"236","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.304 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"06:38:24","trail_date":"2022-06-05","trail_time":"06:36:00","trail_latitude":"23.53533333","trail_longitude":"128.2353333","trail_speed":"18.8","trail_heading":"240","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.305 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"00:39:05","trail_date":"2022-06-05","trail_time":"00:36:00","trail_latitude":"24.542","trail_longitude":"130.0273333","trail_speed":"19.8","trail_heading":"233","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.305 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"18:38:13","trail_date":"2022-06-04","trail_time":"18:36:00","trail_latitude":"25.632","trail_longitude":"131.8113333","trail_speed":"18.8","trail_heading":"221","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.306 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"12:38:25","trail_date":"2022-06-04","trail_time":"12:36:00","trail_latitude":"27.07266667","trail_longitude":"133.1653333","trail_speed":"19","trail_heading":"220","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.307 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"06:41:51","trail_date":"2022-06-04","trail_time":"06:36:00","trail_latitude":"28.56666667","trail_longitude":"134.58","trail_speed":"19.8","trail_heading":"220","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.307 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"00:41:53","trail_date":"2022-06-04","trail_time":"00:36:00","trail_latitude":"30.11333333","trail_longitude":"136.1493333","trail_speed":"20.4","trail_heading":"233","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.308 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"18:39:05","trail_date":"2022-06-03","trail_time":"18:36:00","trail_latitude":"31.58733333","trail_longitude":"137.548","trail_speed":"17.2","trail_heading":"218","i_m_o_number":"9682552","DC_ID":"1019"}
